|cluster_label|spans
0|AI|['AI', 'AI systems', 'language AI', 'virtual assistants', 'reaiization', 'AI chip', 'general AI', 'AI technology', 'AI models', 'AI image generator']
1|vector representations|['vector', 'vector representations', 'vectors', 'visual representations', 'representation learning', 'numeric representations']
2|Deepfake videos|['Deepfake monitoring', 'Deepfake videos', 'deepfake technology', 'commercial deepfakes', 'deepfake videos', 'DEEPFACELAB', 'deepfake application']
3|algorithms|['algorithms', 'algorithm']
4|Neural Networks|['neural networks', 'neural network', 'artificial neural networks', 'neural net', 'neural network models', 'neural nets', 'deep learning', 'functions', 'classification network', 'machine learning', 'large neural networks', 'Neural Networks', 'multilayer perceptrons', 'large neural network']
5|generative models|['generative models', 'generative language models', 'generative model', 'generative language', 'generative language model', 'generative data sets']
6|GAN|['GANs', 'GAN', 'VQ-GAN+CLIP', 'GAN models']
7|Generative Adversarial Networks|['generative adversarial networks', 'Generative Adversarial Networks', 'Generative adversarial networks', 'generative adversarial network', 'Adversarial NLI', 'adversarial version']
8|VAEs|['VAE', 'VAEs', 'mWare', 'VLMs', 'VARs', 'DALLE']
9|Generator|['Generator', 'generator', 'generators', 'batteries', 'image generator']
10|Discriminator|['Discriminator', 'discriminator']
11|image|['image', 'minors image', 'facial image', 'generated image', 'final image', 'IT', 'realistic shadows', 'fake image', 'GIFs', 'corresponding image', 'smaller image']
12|Technology|['technology', 'Technology', 'conversational technology', 'TC', 'consumer solutions']
13|networks|['similar network', 'large networks', 'CNN', 'networks', 'mapping network', 'data centers', 'communication channel', 'language networks', 'cutting-edge']
14|computer vision|['detection systems', 'computer vision', 'vision', 'Computer vision', 'facial movements']
15|Speech Recognition|['speech recognition', 'speech recognition algorithms', 'Speech Recognition']
16|computer hardware|['hardware', 'chip', 'computer hardware', 'computer', 'computers', 'Large Hadron Collider', 'Computer maker', 'computer chips', 'CPUs']
17|GPU|['GPUs', 'GPU']
18|image classification|['video classification', 'facial recognition', 'image classification', 'striking recognition', 'tasksimage recognition', 'AI image models', 'visual classification', 'descriptor']
