span_text|counts|span_score_mean|span_score_min|span_score_max|span_score_median|span_score_std|accessibility_mean|accessibility_min|accessibility_max|accessibility_median|accessibility_std|content_gen_mean|content_gen_min|content_gen_max|content_gen_median|content_gen_std|automation_mean|automation_min|automation_max|automation_median|automation_std
AI|172|0.98182356|0.53441304|0.99999964|0.99999005|0.06717974592725165|0.13664161011830017|0.01863282783800136|0.7294169324994358|0.11797537194804837|0.08892558969182784|0.055847228587681784|0.001612481053671404|0.8019509234115281|0.02655642548515713|0.09464079193877042|0.01063853063955782|0.0016631730307063975|0.2245127935649057|0.006212415859108941|0.019766534691521377
model|159|0.9716418|0.5210897|0.99999976|0.99982625|0.08183838477318837|0.12771824487995825|0.01611470672564949|0.42842471484653905|0.1032544140737939|0.08373721639884596|0.0467425288358997|0.0008333191724466792|0.7376868114628274|0.026311634928218176|0.07794395381387466|0.014308299230143966|0.0018567942314500062|0.17449279805895335|0.0071744574919921315|0.024966636717778674
models|98|0.94202346|0.55631334|0.99999976|0.9986973|0.10597744431072854|0.13605786649397825|0.015605072428470876|0.4946401628781627|0.11377471801317472|0.08793389749422664|0.053848130447983845|0.0008569621416959184|0.8604390164001748|0.02718887668897868|0.09891059556498885|0.014451420848224414|0.001583988101164544|0.1863556683394326|0.006128891393419546|0.025477599634512862
GPT-3|79|0.85899043|0.52183545|0.999926|0.89945626|0.1457069120540705|0.1548623314890767|0.017943890740182208|0.5338838562937939|0.1372483617724956|0.10000148358111519|0.09390479193783366|0.0011638836105357117|0.8294101273542355|0.03201862284246101|0.15581237870037035|0.018029507028925886|0.0018487895661495881|0.09375090920199065|0.010832398871646066|0.019515830897720545
language models|60|0.9731998|0.5325552|0.99999976|0.9999813|0.09198583392953816|0.13853737762884613|0.014294876522389173|0.5|0.11642648822747921|0.07676530282151488|0.07443361837400121|0.0027565701440926626|0.48815012018049037|0.028837748985037787|0.10771575937018352|0.010383791493773034|0.0014984341766460707|0.19066065646321684|0.00519121868682499|0.024596157995255444
neural network|51|0.9999896|0.99980813|0.9999999|0.9999999|3.796188778148058e-05|0.08398683616212375|0.02062723484635444|0.14986027793067663|0.07724070472328894|0.02891963651284792|0.08862544185730716|0.005018749141596449|0.8296940937073125|0.0534803019212105|0.1264090633229733|0.011178595658462057|0.0020367409087943813|0.1333623074382122|0.006079280644791721|0.019442385974131497
large language models|47|0.9999866|0.9995901|0.99999976|0.9999994|6.297356618461061e-05|0.1813621909486904|0.02908875390133124|0.5081498535927389|0.18112448101936857|0.10549531478585665|0.03409266845627064|0.0016846169931201028|0.2394301602186885|0.018427324389587|0.04153123391825163|0.013859098960753715|0.0018213431090366905|0.06457945834087293|0.007452668927366657|0.014996234804576587
neural networks|44|0.99570465|0.9058875|0.9999999|0.9999992|0.019826347960575447|0.08931476217444456|0.01690308028763694|0.24868257934786936|0.08061501948434205|0.04512550316555732|0.09817138476355428|0.0012746442715508676|0.7100634949449044|0.030098034719997745|0.17502092995932317|0.011488999684940117|0.001734811362477728|0.1014643510577572|0.005443723956408804|0.017874996385389284
GANs|39|0.9999939|0.99986446|0.99999964|0.9999989|2.1685933671404117e-05|0.09796659892973003|0.0511268888105177|0.21687675876607107|0.0902193700174005|0.03382004535229299|0.1642510781433529|0.002492726804985833|0.48484645610995397|0.11490629020944701|0.1461674172457636|0.006497154326699254|0.0010907990514506002|0.05639775936717511|0.003741963163093287|0.009558188131581175
code|37|0.96346456|0.75289047|0.99999845|0.9996748|0.06589355533665547|0.1589843197699581|0.04013317952072429|0.44414449209562207|0.12288600518310033|0.09724140714037796|0.040065472505068166|0.0013971020931732657|0.4907717897779845|0.019599880363183317|0.08097474971996992|0.030309256492367077|0.003030179769649099|0.33927914929730657|0.008974946765103495|0.06812276334679261
GPT-2|37|0.9657301|0.61387384|0.9999975|0.99876946|0.079423927296205|0.11637768116167184|0.03671729216682745|0.34462744933327394|0.10269471703140795|0.06476395403336181|0.036988072294874934|0.00483031549232237|0.25719119840089466|0.023758908243945862|0.04435011289256279|0.008819192805827042|0.0019516881817334723|0.059644274330841254|0.006471569778204855|0.009739006886643907
natural language|35|0.9862769|0.6144158|0.99999976|0.9999511|0.06506106005281935|0.12914517131473946|0.03568257328879178|0.4234720802994531|0.11354955910001664|0.0773430236875436|0.10624245550651058|0.0035078087014697996|0.7165920408259188|0.04222769252523091|0.15166677400478196|0.03304197498170963|0.00198565919967953|0.6322723044610749|0.008633087576188107|0.10596061827834186
language|34|0.8119983|0.5290419|0.99988973|0.83931875|0.16275882858360444|0.11155415888577402|0.0602063595813898|0.3327132532057559|0.09683742658433675|0.05205883158507498|0.06637310606811425|0.002848009003331734|0.6623626314310337|0.03649289969524673|0.11359611429633613|0.01597226393271312|0.002022002382172839|0.17150751171691508|0.007009815312395759|0.02988949259526559
image|32|0.87510353|0.5076306|0.9999975|0.95980453|0.15870551797047386|0.10130348805679473|0.03728370713225517|0.31684762055686|0.09685367715905663|0.04579521374159261|0.16004299245366527|0.011080713574100228|0.7140019303613787|0.13610876284879647|0.1350088188918621|0.00695060998896287|0.0018939481731429582|0.08092004827063333|0.004079835804644045|0.013656432994421172
technology|30|0.96691006|0.56556815|0.99999964|0.9999512|0.10931467517279506|0.14754264834470318|0.02062827224658648|0.41836524200071|0.11500271803359458|0.09344876976375996|0.07220138919574284|0.00145117270423493|0.5299687309627373|0.025503842543745006|0.11143476682250891|0.011245114625782463|0.0015758766773941125|0.11046497318600586|0.004984841450520415|0.020132556935399656
–|29|0.8533664|0.578407|0.99987984|0.87056375|0.1376093173734193|0.10821894272046549|0.10550172438690243|0.11234780870676914|0.10856101813625933|0.0017561380167046968|0.030162109653454856|0.029285725753815956|0.03202350849204257|0.029908607188641606|0.0006815894670496425|0.003020905817409757|0.002921393108749577|0.003102841697221887|0.0030377638867113525|4.652842358291235e-05
text-|22|0.9917244|0.92864436|0.999587|0.9973323|0.016001656511242683|0.0993067490785854|0.06643918296240935|0.20754145294565443|0.09125611305588391|0.03691929723959621|0.1975722946055175|0.0145961619676393|0.5839417834063222|0.15037155280547368|0.15076391415965518|0.005127736528631035|0.0016406860261241258|0.013299639702446103|0.0039143371245755065|0.0028401811561837675
generator|18|0.97782695|0.7713749|0.99999964|0.99991304|0.05820603223594459|0.10103987921883362|0.02672202825358882|0.2373918823592463|0.09232907531753484|0.05305197781903678|0.10279880845639906|0.02373066244523311|0.22169189553531649|0.10465173870493874|0.06105005364063928|0.005740578553876243|0.0015449957440641967|0.013644075069190931|0.004117996908793869|0.0037146856533144057
GAN|17|0.9518327|0.5769113|0.99999964|0.99999714|0.10988522056911153|0.10976298213528231|0.046886720210959895|0.2562477479162909|0.08050728810055514|0.0581170991656584|0.14354773494391643|0.030108707796875498|0.7894979731450916|0.09982748989651159|0.17338255959489537|0.006713491185050084|0.0021581828291262245|0.043897106848033385|0.0034287897373393044|0.009958790357214708
computer|17|0.89793736|0.5637031|0.9999976|0.98816144|0.13643071371610516|0.141829911860435|0.05844581333028134|0.4127800709515522|0.12417835909823143|0.0797169142937926|0.05827393900684968|0.010814312012480821|0.1671012780195913|0.05821608461098417|0.041930806849811424|0.005028318429054551|0.0024538184752094057|0.014797285444936832|0.0039261289283455715|0.0032977917642913854
internet|17|0.9849794|0.82216245|0.99999976|0.99999905|0.045899508258514785|0.19075258943241213|0.04618286033333046|0.7105365168660992|0.15011729190516493|0.1563127480597501|0.07323169833185622|0.004591523434142926|0.30889683293880116|0.041169036371185214|0.08705232093528617|0.006292477689966698|0.0017180723728642364|0.017582923347391435|0.004729635470817905|0.004497865591311713
API|16|0.88662595|0.5073263|0.99998426|0.98773396|0.17088574601176346|0.18360462593406213|0.08511560095851706|0.48160826815641755|0.13039801654834662|0.1164458193167999|0.015999451765867676|0.001736394466543405|0.02793958382799736|0.016184279438587964|0.008971910618584655|0.028911137645878007|0.0031953746858910835|0.2437455369625021|0.011637921676215867|0.058329041601965045
neural net|16|0.9974796|0.9665141|0.9999999|0.9999992|0.008330066129120642|0.07619036484024888|0.03555641999320891|0.11987581374008938|0.07410504821105043|0.025721654248146653|0.06394980673404015|0.013495797983052591|0.26117400372627336|0.043233833634167836|0.0632358465688856|0.0060397120992337445|0.0019377700933463937|0.011784812604850276|0.005109986007713238|0.003003638474774684
GPUs|15|0.9994684|0.9950611|0.99999964|0.9999925|0.0013188382426232272|0.07548537174944141|0.04167931211138899|0.09852594335232578|0.07461098637466383|0.015367580495183737|0.025669343089439235|0.010698457660043199|0.04034384525107208|0.02795999378344867|0.010306161967240277|0.008989452476675713|0.004234358820728929|0.02748754398678419|0.005547136860602569|0.0070502704148131855
algorithms|15|0.9997393|0.99831426|0.9999995|0.9999821|0.00050887166802944|0.13206393988530468|0.006725776064869942|0.3476161333941071|0.08925568627438986|0.09440630921511918|0.15811893458899293|0.0009525503803100718|0.681428842205641|0.03920343328845132|0.21533419255782552|0.008582791737790965|0.0023445683197233806|0.021241739917372104|0.0067277877824271|0.005812793756782078
machine learning|14|0.8870646|0.5079749|0.99999964|0.9999592|0.19432594631284664|0.1279910944971776|0.050270217736785285|0.41019376916202366|0.08370333884421993|0.1054422826318986|0.037190485935335325|0.009437448274761452|0.1200699117035653|0.023345075122253388|0.034673171948516684|0.012515625998673749|0.002556133273876904|0.044020465333738816|0.006339621011000044|0.01276303323431522
's|13|0.9342501|0.8339403|0.99972075|0.9532115|0.061724739011907497|0.11830177749011937|0.04660440358074621|0.2135477694717175|0.09874917025792591|0.050422129543556383|0.052869011797277446|0.0028883996585513444|0.27842734165888194|0.031712490788730445|0.07335362882955596|0.004523958780594659|0.0017459776117246147|0.008471480917688052|0.004265258887674013|0.002229712741388678
language model|13|0.87534416|0.55502856|0.99656504|0.9544003|0.1478694956996235|0.09819077052966162|0.053980529035496494|0.1842947571907494|0.09394512889441722|0.04084179596833075|0.04921070913294681|0.0067152185659793955|0.17640977542197134|0.026070687494739633|0.053342365982242734|0.01105917753825174|0.0025067287372630286|0.029536420208036818|0.009388236736243574|0.00854816987694321
BERT|12|0.9830186|0.81476843|0.9999993|0.99842364|0.05301520091948294|0.11128874552273783|0.061494623573218735|0.2025484439685932|0.1024215006269629|0.04202260701552861|0.09270508350997782|0.0064845747393936885|0.2469328813671148|0.058677799371874756|0.0826475031870067|0.00972633779636218|0.00273619269255924|0.04667296208788488|0.005582591097737294|0.012023421045909984
generative models|10|0.99998486|0.99987304|0.9999999|0.999999|3.964175429488598e-05|0.07797493073290424|0.0334475517338492|0.1716635362311468|0.054610996646980055|0.04899083411523325|0.13473211709078622|0.011648953171964503|0.3960511455114085|0.08141827850574343|0.12757815541804754|0.011881406105311396|0.0016278146012093304|0.042859577957962275|0.004727298075686268|0.016084182014867277
transformers|9|0.95706284|0.87804747|0.99997485|0.9634518|0.042373787217632616|0.04908407855359095|0.03369571022093558|0.07246233169061553|0.042636155128862235|0.014913711283758069|0.07474682817125552|0.005013307673778799|0.4490995492708452|0.025138337393729896|0.1410595660412226|0.030223896001457664|0.002333792680537468|0.08577800494541929|0.006215992366221994|0.03711796244915917
data sets|9|0.9473681|0.75157416|0.9999181|0.99406|0.09243728915580227|0.09983444186600843|0.055163156126972375|0.1629504368632218|0.10219485287130525|0.031191451962345088|0.12217934590878435|0.018797657543357667|0.631078406125483|0.029239759660821922|0.19832821485059873|0.01671409599055745|0.0031694914709767324|0.0537223031043529|0.012447738130642639|0.01680045931545065
deepfake videos|9|0.9549111|0.6724847|0.9999993|0.99764144|0.10700166707958006|0.11181517627952957|0.02844791217335349|0.1433324754474631|0.11597676829340182|0.03533751231561833|0.055800563287157545|0.0005917889013261118|0.09333867548610807|0.06912221585105481|0.02843514965868187|0.004119872645149343|0.0027427134058140208|0.006106793325390822|0.004151988014848245|0.0010271900871756765
GPT-3 model|9|0.9628672|0.741219|0.9986572|0.9954933|0.08398312496447911|0.14479041203309548|0.08368670524125817|0.2105245418332261|0.1345250507626705|0.04524322816647635|0.08529970500586542|0.0010504045734947927|0.5|0.020355149088757622|0.16059638063975293|0.018438184012788864|0.00375673144698851|0.04179066519269935|0.010449029908179773|0.014611123491977032
-image|8|0.99292195|0.9658135|0.9998672|0.996557|0.011249536537268536|0.11929570522035955|0.06972929977629988|0.31451606307561814|0.09238557301393793|0.08051649038319143|0.15778779868843076|0.01119637887433055|0.31539546888866027|0.14818588214362846|0.0890809375529809|0.00616343793808791|0.003127294835361788|0.015944673881065505|0.004433172568570879|0.004261071280452678
algorithm|8|0.9896019|0.91834676|0.99999833|0.99990016|0.02879362806135704|0.10739318837103437|0.06449721274639876|0.16451681610647115|0.10015097531561924|0.03397320139812859|0.07971483086551052|0.014688648399069068|0.2125627964480538|0.058903889333419224|0.0652142398017169|0.0060730371595809265|0.0024478175974145993|0.00961145379434357|0.005928601260455836|0.0024964972671302596
LLMs|8|0.9999731|0.9999037|0.9999987|0.99999505|4.29706085198407e-05|0.12559860170611575|0.04890092253724825|0.22101106181629215|0.11624121123546133|0.06985332345121596|0.01948641438167415|0.0073487384680063165|0.03200120725710867|0.019297855900790806|0.009436724162402706|0.004815957079574538|0.004118222002837231|0.005089480833325282|0.00502806274106782|0.00043215157923248357
diffusion models|7|0.996705|0.9902456|0.9999949|0.99916315|0.003940412680682306|0.09189278295755923|0.050937496066384716|0.1332486603870716|0.0915966956805629|0.025286519419006226|0.36670427070767564|0.044186936263464004|0.728340159045254|0.278990688816851|0.26381228898568565|0.004002648147224167|0.0024577556829150785|0.006567418912976656|0.003937980454194207|0.0012912493328265855
GPU|7|0.9588919|0.856947|0.9999976|0.9936791|0.061520580106805896|0.09518865701864125|0.05691117847284312|0.15064220972136863|0.09835517851851852|0.03143565395551855|0.027163817265880186|0.012672850372928705|0.0565652311357937|0.024973419767449215|0.015170234391766624|0.014725330682169305|0.002794126820453698|0.06837951724826934|0.006059537299542442|0.023768227568719345
devices|7|0.86275446|0.5696076|0.99999785|0.9892742|0.2020829036229866|0.1622146578421148|0.08034038508871846|0.26651554330261557|0.1535692380824812|0.06042694531191208|0.019070988149443795|0.009443203580290637|0.03145752894951991|0.02057706205367703|0.0081339078521962|0.008749760869591955|0.0025020970949346326|0.03636492776473611|0.004447965434009821|0.012242495896104972
hardware|7|0.8568079|0.50382566|0.99999964|0.99862885|0.2411509122960287|0.07195020932674592|0.012443557485638492|0.1272163700250884|0.09337159369225592|0.0425942707317631|0.014450843399969503|0.0009272616874595904|0.02566020260972685|0.012854325439571207|0.008000589003773088|0.01627305126439916|0.006806675968344819|0.036253979336319256|0.008380208562218256|0.01324386895702169
memristor|7|0.9288419|0.50194734|0.99999964|0.99999714|0.1882428009568121|0.07045090224628003|0.03268921438725452|0.09035294145833314|0.0719412226902682|0.01936889442400255|0.017748235578650722|0.007139361748284443|0.03045488694813927|0.017104364991118417|0.008554692076275534|0.004519442204060313|0.0030106089980578353|0.007911863921611048|0.003988214557317635|0.0017564069926349823
deep learning|7|0.9125041|0.7065337|0.99999917|0.9987399|0.13649042550911475|0.08313528209874153|0.02899664340889514|0.13213085883887463|0.0811466180551434|0.03906953310240732|0.15435969996844454|0.01134799312930898|0.4222225802317777|0.032292621085734316|0.18668077926931625|0.013299612801814173|0.00447461909101697|0.04085420583835079|0.005573000724756442|0.014207139847268369
Discriminator|7|0.9993094|0.99584347|0.9999989|0.99998987|0.0015381014654678644|0.07403455182865269|0.052742820399093365|0.11381638536190217|0.06904416645369983|0.0201035378954076|0.237391754825637|0.0627219282907409|0.42641432762835935|0.2689208489879131|0.1446250293290818|0.003707881593156849|0.0015877699342796857|0.007010546748099802|0.003245370328371919|0.001815622624010248
NY|7|0.9211547|0.86832356|0.9703782|0.9392738|0.04157447916228027|0.11522961147578235|0.10614341853844088|0.11974688294122124|0.11730063451111428|0.004660339868360351|0.03183024510191356|0.02855464202905417|0.03550896416734415|0.03151837058158578|0.0024346782131904974|0.003145271388151777|0.0029786697452849173|0.003320172833922506|0.0031512684685851703|0.00013391041897501755
NLP|7|0.84624994|0.5512176|0.9999224|0.9813473|0.1872348447941816|0.10861112866906031|0.09674073533272991|0.11896789928246687|0.10827029682883688|0.008486401282477964|0.11355842064988539|0.021909485637470142|0.23818452499152457|0.05662928346303733|0.09851966126145605|0.007926174579781538|0.0029561830666861074|0.02297760614105625|0.004907749935176549|0.006851667732794233
DataMUX|7|0.9999951|0.9999827|0.99999964|0.9999989|6.700054972202574e-06|0.07230550763703136|0.0421348187047436|0.14722255369314644|0.052256166073518864|0.04094326051358487|0.052440135631213955|0.008919777739303601|0.13530333257826255|0.037374137880222195|0.046528374625738333|0.011323943290720449|0.0032639323829794465|0.031906914760886126|0.006775250776943522|0.01001803884046991
generative model|7|0.95811564|0.7118892|0.9999759|0.9998622|0.10858806221277652|0.09226731335973641|0.061968914485826254|0.1231181757715233|0.08904999370810002|0.018700279202370433|0.15040333553172086|0.006680471138631248|0.27097111909410493|0.15715566585435536|0.09741607556635691|0.008802575605170513|0.002111438108102959|0.03337865497510277|0.004777183811388953|0.010989325579468162
vector|6|0.93492323|0.75279677|0.9999951|0.9785919|0.09741096604642444|0.12530043775573044|0.07877861073992726|0.23207265532560112|0.10927949697039382|0.057266712239609746|0.04703218582710441|0.011320454693809366|0.09806906175205458|0.041742565774695345|0.03673651278673211|0.004643432664304428|0.0029996474929346864|0.00844296502021743|0.0031650914416036235|0.002453529871521446
discriminator|6|0.9996605|0.99796474|0.99999964|0.99999964|0.0008307357645082356|0.09267564957618744|0.03921554824297353|0.18020100873545294|0.08486470987901065|0.04800893173429061|0.09311898117174792|0.013413879756606501|0.18556262793502895|0.09995469599750624|0.06458926097369451|0.0030311963249876153|0.0016904621478577328|0.004572551077599988|0.0027920614332341367|0.0011573987708367844
computer vision|6|0.9999981|0.9999962|0.99999964|0.99999815|1.4839840921203983e-06|0.10075106768887776|0.06831768674976178|0.13684207691275158|0.10276800265391772|0.023891169842737623|0.11243330510399187|0.03992616785341179|0.17339727509331757|0.12256254398627497|0.052647897650913995|0.007519225520107036|0.003084898137652579|0.022619612025388983|0.004904980092964447|0.0075521244147208795
Generative Adversarial Networks|6|0.9776667|0.9259141|0.9999963|0.9917139|0.03048668672075424|0.09636923044768202|0.07354728380568652|0.11998268512281834|0.09286248981951686|0.01952889568785152|0.1392157661270381|0.0692398670865999|0.2377515303179688|0.14155703728344476|0.06196086508861875|0.004639818685564154|0.002108223747889357|0.009368195677305523|0.004047696653002225|0.0025451904943530473
LLM|6|0.82468367|0.5008145|0.9997099|0.9735265|0.2511410798803489|0.08836129831217554|0.06011557973266964|0.1283785018961849|0.07856637665904537|0.030625206743820983|0.04727786605357678|0.004526078787730218|0.10175913722338956|0.047014380702711626|0.03903622696964482|0.019298273268891743|0.009156398239583696|0.037687382323649335|0.011051039243442194|0.014304812597491588
AI models|6|0.99212694|0.9703658|0.99999404|0.9987472|0.012145745566485684|0.20458339631804245|0.03920526193545297|0.47081081733602276|0.15120340347896197|0.1681458953176047|0.03570673085233645|0.003263166375217687|0.1439899047905232|0.018978195122598965|0.05363920954657132|0.010171871900295401|0.000958351507383773|0.025640594306622678|0.007421519346041195|0.0095179103339676
text|6|0.9709881|0.90172297|0.99953675|0.9870696|0.03781040327214156|0.10520344648120376|0.06946352984786726|0.14474459166825282|0.10545545524512126|0.026751359310412306|0.11242190027255994|0.007642770117434168|0.30990831099295446|0.0498185110054228|0.12804661493340652|0.013829906573797804|0.003840076642824272|0.029065348045107547|0.010476264068319575|0.010094337774110979
ELMo|6|0.9996927|0.9982369|0.9999994|0.9999955|0.0007136936511493607|0.12421674224766428|0.10173445991161874|0.14750578876356765|0.1287218949104314|0.019202667797654845|0.21185910207198666|0.07157462389257288|0.3118320655761104|0.22924308230529156|0.09018486486651418|0.006732740324089068|0.0029569731676503813|0.01568051362878403|0.005246664281118628|0.004707992453630955
large language model|6|0.9756394|0.879459|0.99999726|0.99997985|0.04821549634943883|0.0935891570408637|0.06006675703623618|0.12162735379323358|0.10012627787402487|0.025655523457466106|0.024774290557197026|0.0067808156363456515|0.03664262158761973|0.02789198003510447|0.012860727509241148|0.03156332803735422|0.0026810155918254404|0.1598894599384609|0.006409753717435946|0.06293996748042054
GPT|6|0.9426117|0.8112464|0.9997856|0.96069264|0.06872999536412987|0.1110882120051037|0.09871854018464203|0.12559278881502867|0.10839736470430231|0.011365548709018795|0.1861695391725874|0.01902131195390435|0.8104603804423745|0.056354702450649816|0.31058340513504307|0.0064391869475095035|0.0038861582845707452|0.010528788422031813|0.00556276702666895|0.0026197087696122495
